ZL1BYP	Whangaparaoa   36.6344S	174.7422E
AOS:		
Sample	Dif Phase	TEC
240	2.845248	0.4301857
241	5.695189	0.8610809
242	0.5645695	0.08535976
243	5.208284	0.7874636
244	3.684165	0.5570253
245	3.653635	0.5524093
246	5.771955	0.8726876
247	0.7949154	0.1201868
248	0.8276203	0.1251316
249	2.884269	0.4360853
250	2.643476	0.3996788
251	0.8742964	0.1321888
252	3.722019	0.5627486
253	3.342713	0.5053996
254	0.5467889	0.08267143
255	1.065354	0.1610756
256	3.479152	0.5260284
257	5.546467	0.8385949
258	5.856559	0.8854791
259	3.529911	0.5337029
260	3.095479	0.4680192
261	2.563187	0.3875396
262	3.120237	0.4717625
263	5.153255	0.7791436
264	5.056159	0.7644631
265	0.2558022	0.03867586
266	5.703909	0.8623993
267	6.038207	0.9129433
268	2.773364	0.4193172
269	1.050772	0.1588708
270	3.851663	0.58235
271	0.1080117	0.01633077
272	5.992784	0.9060756
273	6.113408	0.9243132
274	6.2373	0.943045
275	2.251318	0.3403867
276	0.6560431	0.09919006
277	0.4767127	0.07207631
278	5.716457	0.8642965
279	5.705627	0.862659
280	5.705627	0.862659
281	5.730155	0.8663675
282	4.302261	0.650478
283	3.275335	0.4952124
284	2.940275	0.4445533
285	5.310359	0.8028967
286	0.4799504	0.07256583
287	6.272434	0.9483572
288	0.2782998	0.04207738
289	6.001187	0.9073461
290	6.022583	0.9105811
291	2.765952	0.4181966
292	3.286448	0.4968927
293	4.150075	0.6274682
294	0.7483845	0.1131516
295	6.178112	0.9340962
296	4.88619	0.7387648
297	3.438466	0.519877
298	6.184072	0.9349973
299	0.4489872	0.06788437
300	0.1667843	0.02521686
301	6.138016	0.9280338
302	6.074163	0.9183797
303	6.14129	0.9285288
304	0.4239635	0.06410093
305	4.329212	0.6545528
306	1.271775	0.1922853
307	5.605391	0.847504
308	6.269176	0.9478646
309	5.934415	0.8972506
310	3.311182	0.5006323
311	3.690142	0.5579289
312	0.4480648	0.0677449
313	0.1030879	0.01558632
314	0.6564875	0.09925725
315	5.818041	0.8796555
316	0.05915809	0.008944374
317	3.117494	0.4713477
318	0          0	
319	1.171904	0.1771854
320	2.101012	0.3176613
321	3.525001	0.5329605
322	0.1098824	0.0166136
323	0.3075669	0.0465024
324	0.5291276	0.08000115
325	5.7981	0.8766404
326	0.5867335	0.08871084
327	3.264679	0.4936014
328	6.210139	0.9389385
329	2.628449	0.3974069
